question,code
Need top 10 hair dryers with ratings with more than 4 stars,o r r q q o s s s s s s
I want as many as possible air purifiers with over 4.5,o o r r r r q q o s s
I want as many as possible Bluetooth speakers with above 4,o o r r r r q q o s s
Can you suggest top 5 gaming chairs over 4.5?,o o o r r q q s s
Looking for couple robot vacuums that are above 4,o o r q q o o s s
"What are the best smartwatches with more than 4 stars, show top 10",o o o r q o s s s s o r r
"at least 4.3 for smart TVs, need 7",s s s o q q r r
Looking for top 10 smartwatches that are 4+ stars,o o r r q o o s s
Please recommend top 10 robot vacuums with rating at least 4.3,o o r r q q o s s s s
Please recommend few Bluetooth speakers with rating above 4,o o r q q o s s s
Need 3 wireless headphones with ratings over 4.5,o r q q o s s s
Top 7 coffee makers with at least 4.3,r r q q o s s s
Need 7 rice cookers with ratings above 4,o r q q o s s s
"above 4 for LED lamps, need couple",s s o q q o r
Need 3 coffee makers with ratings over 4.5,o r q q o s s s
"What are the best smartwatches 4+ stars, show top 5",o o o r q s s o r r
Looking for 5 hair dryers that are above 4,o o r q q o o s s
"What are the best coffee makers over 4.5, show top 5",o o o r q q s s o r r
I want as many as possible air purifiers with with more than 4 stars,o o r r r r q q o o s s s s
Top 10 baby strollers with over 4.5,r r q q o s s 
Show me 10 highly rated kitchen blenders,o o r s s q q
Show me couple highly rated rice cookers,o o r s s q q
Need few wireless headphones with ratings at least 4.3,o r q q o s s s s
Looking for as many as possible laptops that are with more than 4 stars,o o r r r r q o o o s s s s
"What are the best air purifiers over 4.5, show top 5",o o o r q q s s o r r
"with more than 4 stars for LED lamps, need 7",o s s s s o q q r r
Looking for 5 coffee makers that are above 4,o o r q q o o s s
I want 3 smart TVs with over 4.5,o o r q q o s s
Show me as many as possible highly rated air purifiers,o o r r r r s s q q
I want few laptops with at least 4.3,o o r q o s s s
Looking for as many as possible Bluetooth speakers that are above 4,o o r r r r q q o o s s
Please recommend top 10 LED lamps with rating at least 4.3,o o r r q q o s s s s
"What are the best robot vacuums with more than 4 stars, show as many as possible",o o o r q q o s s s s o r r r r
Need couple coffee makers with raitings with more than 4 stars,o r q q o s o s s s s
Need top 10 backpacks with ratings 4+ stars,o r r q o s s s
Top 7 Bluetooth speakers with with more than 4 stars,r r q q o o s s s s
"over 4.5 for coffee makers, need couple",s s o q q o r
Can you suggest as many as possible baby strollers 4+ stars?,o o o r r r r q q s s
"with more than 4 stars for rice cookers, need as many as possible",o s s s s o q q r r r r r
Need 7 rice cookers with ratings with more than 4 stars,o r q q o s s s s s s
Looking for top 5 gaming chairs that are 4+ stars,o o r r q q o o s s
Show me top 10 highly rated hair dryers,o o r r s s q q
Give me 7 laptops rated 4+ stars,o o r q s s s
Give me as many as possible men's shoes rated above 4,o o r r r r q q s s s
Can you suggest couple earbuds above 4?,o o o r q s s
I want couple baby strollers with above 4,o o r q q o s s
Please recommend couple electric scooters with rating 4+ stars,o o r q q o s s s
"4+ stars for Bluetooth speakers, need as many as possible",s s o q q r r r r r
Give me 7 coffee makers rated at least 4.3,o o r q q s s s s
Please recommend 5 rice cookers with rating with more than 4 stars,o o r q q o s s s s s s
"What are the best gaming chairs at least 4.3, show 10",o o o r q q s s s r r
I want as many as possible fitness bands with above 4,o o r r r r q q o s s
Can you suggest couple hair dryers at least 4.3?,o o o r q q s s s
Give me top 5 wireless headphones rated at least 4.3,o o r r q q s s s s
Give me top 5 fitness bands rated over 4.5,o o r r q q s s s
I want as many as possible wireless headphones with above 4,o o r r r r q q o s s
Need few robot vacuums with raitings at least 4.3,o r q q o s s s s
Need 7 fitness bands with ratings above 4,o r q q o s s s
"over 4.5 for wireless headphones, need top 10",s s o q q o r r
"with more than 4 stars for baby strollers, need 7",o s s s s o q q o r
Top 5 smart TVs with above 4,r r q q o s s
Looking for 5 smartphones that are 4+ stars,o o r q o o s s
"4+ stars for hair dryers, need top 10",s s o q q o r r
Show me top 10 highly rated wireless headphones,o o r r s s q q
Looking for 10 fitness bands that are at least 4.3,o o r q q o o s s s
Top few robot vacuums with with more than 4 stars,r r q q o o s s s s
Show me top 10 highly rated LED lamps,o o r r s s q q
Please recommend 3 laptops with rating over 4.5,o o r q o s s s
"above 4 for electric scooters, need 10",s s o q q r r 
Need top 10 wireless headphones with ratings over 4.5,o r r q q o s s s
Need couple rice cookers with ratings 4+ stars,o r q q o s s s
Show me couple highly rated rice cookers,o o r s s q q
I want top 5 wireless headphones with with more than 4 stars,o o r r q q o o s s s s
Show me 10 highly rated robot vacuums,o o r s s q q 
Give me few wireless headphones rated over 4.5,o o r q q s s s  
Give me as many as possible smart TVs rated over 4.5,o o r r r r q q s s s
find 5 inch air conditioners with 3 star rating,o q q q q s s s
find 6.5 GB detergent with 5 star rating,o q q q s s s s
give me 3 star rated 100 cm milk cartons,o o s s s q q q q 
give me 3 star rated 100 inch milk cartons,o o s s s q q q q 
give me 3 star rated 32 W washing machines,o o s s s q q q q
give me 4.5 star rated 2.5 GB speakers,o o s s s q q q 
give me 4.5 star rated 500 inch detergent,o o s s s q q q
give me 5 star rated 5 L milk cartons,o o s s s q q q q
give me energy-efficient rated 500 kg milk cartons,o o q q q q q q
give me premium rated rated 100 GB laptops,o o s s s q q q 
give me premium rated rated 42 L blenders,o o s s s q q q
give me star-rated rated 5 TB water purifiers,o o s s q q q q 
list 3 star 1 lb energy bars,r s s q q q q 
list 3 star 5 L microwave ovens,r s s q q q q 
list 4.5 star 5 GB pressure cookers,r s s q q q q 
list 5 star 42 inch milk cartons,r s s q q q q 
list 5 star 500 L microwave ovens,r s s q q q q 
list energy-efficient 10 inch speakers,r q q q q
list energy-efficient 32 TB milk cartons,r q q q q q
list premium rated 1 cm laptops,r s s q q q  
list premium rated 15 kg ACs,r s s q q q
list star-rated 1 W dumbbells,r s q q q
list star-rated 10 W LED panels,r s q q q q
recommend 3 star speakers weighing 55 GB,o s s q q q q
recommend 3 star water purifiers weighing 42 inch,o s s q q q q
recommend 4.5 star LED panels weighing 1 kg,o s s q q q q q
recommend 4.5 star air conditioners weighing 100 L,o s s q q q q q
recommend 4.5 star milk cartons weighing 10 L,o s s q q q q q
recommend 5 star power banks weighing 10 inch,o s s q q q q q
Looking for few backpacks that are with more than 4 stars,o o r q o o o s s s s
"with more than 4 stars for electric scooters, need top 10",o s s s s o q q o r r
Need 5 electric scooters with ratings above 4,o r q q o s s s
Give me top 5 gaming chairs rated with more than 4 stras,o o r r q q s o s s s s 
Top 3 fitness bands with at least 4.3,r r q q o s s s
Can you suggest 10 rice cookers with more than 4 stars?,o o o r q q o s s s s  
Please recommend top 5 electric scooters with rating above 4,o o r r q q o s s s  
Show me 5 highly rated backpacks,o o r s s q
Can you sugest top 10 air purifiers over 4.5?,o o o r r q q s s
Need as many as possible smartphones with ratings above 4,o r r r r q o s s s
Please recommend top 5 men's shoes with rating with more than 4 stars,o o r r q q o s o s s s s
Top top 10 laptops with with more than 4 stars,r r r q o o s s s s 
Top couple LED lamps with above 4,r r q q o s s
Need 10 smartwatches with ratings above 4,o r q o s s s
Please recommend 5 kitchen blenders with rating above 4,o o r q q o s s s
Need 7 men's shoes with ratings 4+ stars,o r q q o s s s
Looking for top 10 baby strollers that are at least 4.3,o o r r q q o o s s s  
Show me 10 highly rated Bluetooth speakers,o o r s s q q
Please recommend 3 earbuds with rating at least 4.3,o o r q o s s s s
"4+ stars for robot vacuums, need top 5",s s o q q o r r
I want 3 LED lamps with at least 4.3,o o r q q o s s s
I want couple backpacks with at least 4.3,o o r q o s s s
Looking for top 5 air purifiers that are at least 4.3,o o r r q q o o s s s
Give me 3 earbuds rated at least 4.3,o o r q s s s s
Give me top 10 air purifiers rated above 4,o o r r q q s s s
Looking for as many as possible electric scooters that are 4+ stars,o o r r r r q q o o s s
Show me 3 highly rated wireless headphones,o o r s s q q
Need few smart TVs with ratings over 4.5,o r q q o s s s
Need few Bluetooth speakers with ratings 4+ stars,o r q q o s s s
Please recommend top 10 baby strollers with rating at least 4.3,o o r r q q o s s s s
I want few fitness bands with with more than 4 stars,o o r q q o o s s s s
Top top 10 men's shoes with above 4,r r r q q o s s
Need few air purifiers with ratings above 4,o r q q o s s s
I want couple hair dryers with 4+ stars,o o r q q o s s
Looking for 5 electric scooters that are over 4.5,o o r q q o o s s
Give me top 10 hair dryers rated with more than 4 stars,o o r r q q s s s s s s
Can you suggest top 10 kitchen blenders over 4.5?,o o o r r q q s s
"4+ stars for electric scooters, need top 10",s s o q q o r r 
Can you suggest 10 rice cookers at least 4.3?,o o o r q q s s s
Give me 3 LED lamps rated with more than 4 stars,o o r q q s s s s s s
Give me few LED lamps rated at least 4.3,o o r q q s s s s
"at least 4.3 for robot vacuums, need top 5",s s s o q q o r r
Need 7 fitness bands with ratings over 4.5,o r q q o s s s
Can you suggest few air purifiers over 4.5?,o o o r q q s s
Show me top 10 highly rated electric scooters,o o r r s s q q
Show me top 5 highly rated fitness bands,o o r r s s q q
"What are the best robot vacuums above 4, show top 5",o o o r q q s s o r r
I want 3 robot vacuums with over 4.5,o o r q q o s s
Show me top 10 highly rated kitchen blenders,o o r r s s q q
Need as many as possible smart TVs with ratings above 4,o r r r r q q o s s s
Need 10 hair dryers with ratings above 4,o r q q o s s s
Please recommend top 10 coffee makers with rating with more than 4 stars,o o r r q q o s o s s s s
Top 5 gaming chairs with 4+ stars,r r q q o s s
Can you suggest top 10 gaming chairs above 4?,o o o r r q q s s
Please recommend top 5 coffee makers with rating 4+ stars,o o r r q q o s s s 
"above 4 for gaming chairs, need top 10",s s o q q o r r
Top 3 fitness bands with over 4.5,r r q q o s s
Top 7 men's shoes with over 4.5,r r q q o s s
"What are the best robot vacuums 4+ stars, show 3",o o o r q q s s r
"over 4.5 for Bluetooth speakers, need couple",s s o q q o r
I want 10 robot vacuums with with more than 4 stars,o o r q q o o s s s s
I want top 10 Bluetooth speakers with with more than 4 stars,o o r r q q o o s s s s
"above 4 for fitness bands, need top 5",s s o q q o r r
Can you suggest as many as possible fitness bands 4+ stars?,o o o r r r r q q s s
Give me couple smartphones rated 4+ stars,o o r q s s s
Top top 5 hair dryers with above 4,r r r q q o s s
Give me 5 Bluetooth speakers rated over 4.5,o o r q q s s s
Top 10 LED lamps with above 4,r r q q o s s
Show me 7 highly rated hair dryers,o o r s s q q
I want few smartwatches with over 4.5,o o r q o s s
Need 5 Bluetooth speakers with ratings at least 4.3,o r q q o s s s s
Please recommend couple kitchen blenders with rating above 4,o o r q q o s s s
I want as many as possible coffee makers with over 4.5,o o r r r r q q o s s
Looking for couple LED lamps that are with more than 4 stars,o o r q q o o o s s s s
Top as many as possible kitchen blenders with with more than 4 stars,r r r r r q q o o s s s s
Show me 3 highly rated smart TVs,o o r s s q q
"What are the best smartwatches above 4, show few",o o o r q s s o r  
Please recommend few coffee makers with rating above 4,o o r q q o s s s
Please recommend as many as possible earbuds with rating at least 4.3,o o r r r r q o s s s s
Looking for as many as possible smartphones that are at least 4.3,o o r r r r q o o s s s
Show me top 5 highly rated wireless headphones,o o r r s s q q
Can you suggest 7 earbuds at least 4.3?,o o o r q s s s
Looking for top 5 coffee makers that are 4+ stars,o o r r q q o o s s
I want 3 baby strollers with at least 4.3,o o r q q o s s s
Please recommend couple baby strollers with rating with more than 4 stars,o o r q q o s o s s s s
I want couple electric scooters with 4+ stars,o o r q q o s s
Need 7 coffee makers with ratings at least 4.3,o r q q o s s s s
I want 10 baby strollers with over 4.5,o o r q q o s s
Please recommend few rice cookers with rating 4+ stars,o o r q q o s s s
Can you sugest 7 men's shoes with more than 4 stars?,o o o r q q o s s s s
Give me top 5 rice cookers rated 4+ stars,o o r r q q s s s
Please recommend 3 gaming chairs with rating above 4,o o r q q o s s s
Top as many as possible baby strollers with over 4.5,r r r r r q q o s s
Give me as many as possible earbuds rated above 4,o o r r r r q s s s
Give me 10 wireless headphones rated at least 4.3,o o r q q q s s s s
Looking for 10 smart TVs that are 4+ stars,o o r q q o o s s
Give me top 5 men's shoes rated at least 4.3,o o r r q q s s s 
Please recommend as many as possible smartwatches with rating with more than 4 stars,o o r r r r q o s o s s s s
"What are the best wireless headphones at least 4.3, show top 10",o o o r q q s s s o r r
Need few smart TVs with ratings with more than 4 stars,o r q q o s o s s s s
Give me top 5 backpacks rated over 4.5,o o r r q s s s
"What are the best electric scooters over 4.5, show top 10",o o o r q q s s o r r
Need top 5 gaming chairs with ratings above 4,o r r q q o s s s
Need 5 baby strollers with ratings 4+ stars,o r q q o s s s
Top 7 kitchen blenders with with more than 4 stars,r r q q o o s s s s
"above 4 for electric scooters, need top 5",s s o q q o r r
I want 10 LED lamps with over 4.5,o o r q q o s s
Need 3 fitness bands with ratings over 4.5,o r q q o s s s
Show me top 10 highly rated laptops,o o r r s s q
Top 10 hair dryers with over 4.5,r r q q o s s
Looking for 5 air purifiers that are above 4,o o r q q o o s s
Looking for couple wireless headphones that are over 4.5,o o r q q o o s s
Looking for as many as possible coffee makers that are with more than 4 stars,o o  r r r r q q o o o s s s s
Can you suggest top 10 smartphones at least 4.3?,o o o r r q s s s
Top couple air purifiers with 4+ stars,r r q q o s s
Looking for 5 men's shoes that are above 4,o o r q q o o s s
Looking for 5 LED lamps that are 4+ stars,o o r q q o o s s
Need 10 laptops with ratings with more than 4 stars,o r q o s o s s s s
"at least 4.3 for air purifiers, need few",s s s o q q o r  
Need 3 smartphones with ratings at least 4.3,o r q o s s s s
"at least 4.3 for hair dryers, need as many as possible",s s s o q q o r r r r
Top 3 gaming chairs with over 4.5,r r q q o s s
I want top 5 smartphones with 4+ stars,o o r r q o s s
Give me couple Bluetooth speakers rated over 4.5,o o r q q s s s
Can you suggest few smart mirror with voice assistant above 4?,o o o r q q q q s s
Show me couple highly rated heated electric blanket hoodie,o o r s s q q q q
Show me top 10 highly rated mini portable AC for car,o o r r s s q q q q q
Looking for 7 USB-C to HDMI with Ethernet that are above 4,o o r q q q q q o o s s
Please recommend 7 men's brown waterproof boots with zipper with rating above 4,o o r q q q q q q o s s s
Can you suggest top 10 earphones with noicecancellation above 4?,o o o r r q q q s s
Please recommend 5 USB-C to HDMI with Ethernet with rating at least 4.3,o o r q q q q q o s s s s
Need 3 men's brown waterproof boots with zipper with ratings with more than 4 stars,o r q q q q q q o s o s s s s
Need 7 baby feeding bottle warmer combo with ratings above 4,o r q q q q q o s s s
Give me 3 cordless drill with 90-degree head rated over 4.5,o o r q q q q q s s s
Need couple foldable electric treadmill under desk with ratings over 4.5,o r q q q q q o s s s
"4+ stars for baby feeding bottle warmer combo, need 5",s s o q q q q q o r
"over 4.5 for baby feeding bottle warmer combo, need 5",s s o q q q q q o r
"What are the best baby feeding bottle warmer combo 4+ stars, show 7",o o o r q q q q q s s o r
Show me top 5 highly rated 3 legged table,o o r r s s q q q  
Can you suggest few handheld fan with USB mist spray at least 4.3?,o o o r q q q q q q s s s
"What are the best inflatable kayak with repair kit at least 4.3, show 3",o o o r q q q q q s s s o r
Show me top 5 highly rated heated electric blanket hoodie,o o r r s s q q q q   
Need 7 heated electric blanket hoodie with ratings with more than 4 stars,o r q q q q o s o s s s s 
Need top 10 magnetic levitating pen stand with ratings above 4,o r r q q q q o s s s
Can you suggest 7 baby feeding bottle warmer combo over 4.5?,o o o r q q q q q s s 
Top few cordless drill with 90-degree head with over 4.5,r r q q q q q o s s
Looking for 10 men's brown waterproof boots with zipper that are above 4,o o r q q q q q o s s s
"What are the best smart mirror with voice assistant above 4, show 7",o o o r q q q q q s s r r
Looking for 10 earphones with noicecancellation that are over 4.5,o o r q q q o o s s
Need 3 3 legged table with ratings at least 4.3,o r q q q o s s s s
Please recommend 10 earphones with noicecancellation with rating at least 4.3,o o r q q q o s s s s
Need 5 baby feeding bottle warmer combo with ratings 4+ stars,o r q q q q q o s s s
"What are the best heated electric blanket hoodie at least 4.3, show couple",o o o r q q q q s s s o r
I want 3 cordless drill with 90-degree head with above 4,o o r q q q q q o s s
Show me top 10 highly rated USB-C to HDMI with Ethernet,o o r r s s q q q q q
Can you suggest top 5 baby feeding bottle warmer combo at least 4.3?,o o o r r q q q q q s s s
Need 3 cordless drill with 90-degree head with ratings over 4.5,o r q q q q q o s s s
Please recommend few automatic pet food dispenser with timer with rating with more than 4 stars,o o r q q q q q q o s o s s s s
"What are the best heated electric blanket hoodie above 4, show 7",o o o r q q q q s s o r
Looking for few smart mirror with voice assistant that are over 4.5,o o r q q q q q o o s s
Gimme couple TV stand with fireplace rated at least 4.3,o r q q q q s s s s
Need top 5 wireless earbuds no bass with ratings over 4.5,o r r q q q q o s s s
Please recommend couple handheld fan with USB mist spray with raiting at least 4.3,o o r q q q q q q o s s s s
I want 5 foldable electric treadmill under desk with over 4.5,o o r q q q q q o s s  
"at least 4.3 for earphones with noicecancellation, need couple",s s s o q q q o r
Looking for top 10 smart mirror with voice assistant that are 4+ stars,o o r r q q q q q o o s s
Give me top 5 baby feeding bottle warmer combo rated above 4,o o r r q q q q q s s s
Please recommend as many as possible heated electric blanket hoodie with rating at least 4.3,o o r r r r q q q q o s s s s
Top top 10 cordless drill with 90-degree head with over 4.5,r r r q q q q q o s s
Can you suggest top 10 USB-C to HDMI with Ethernet with more than 4 stars?,o o o r r q q q q q o s s s s
"Top few 10"" measuring tape with at least 4.3",r r q q q o s s s
"with more than 4 stars for solar-powered garden gnome speaker, need 3",o s s s s o q q q q q o r
Give me 3 automatic pet food dispenser with timer rated at least 4.3,o o r q q q q q q s s s s
Looking for top 10 TV stand with fireplace that are 4+ stars,o o r r q q q q o o s s
Top few one-sided pillow case set with 4+ stars,o r q q q q o s s
Top 7 noise-enhancing headphones with above 4,r r q q o s s
I want couple noise-enhancing headphones with above 4,o o r q q o s s
Top 3 wireless mouse with wired adapter with above 4,r r q q q q q o s s
Top 10 4K monitor with HD resolution with over 4.5,r r q q q q o s s  
Can you suggest as many as possible 4K monitor with HD resolution over 4.5?,o o o r r r r q q q q q s s
I want top 5 4K monitor with HD resolution with over 4.5,o o r r q q q q q o s s  
Need 10 solar lamp that needs charging cable with ratings above 4,o r q q q q q q o s s s
I want couple wireless mouse with wired adapter with at least 4.3,o o r q q q q q o s s s
Can you suggest few LED light with no bulb above 4?,o o o r q q q q s s
I want few noise-enhancing headphones with above 4,o o r q q o s s
Show me 7 highly rated eco-friendly plastic bottle,o o r s s q q q q
Top 3 eco-friendly plastic bottle with at least 4.3,r r q q q q o s s s
Can you suggest few LED light with no bulb 4+ stars?,o o o r q q q q q s s
Looking for top 5 4K monitor with HD resolution that are over 4.5,o o r r q q q q q o o s s
Please recommend top 10 double USB port single charger with rating above 4,o o r r q q q q q o s s s
"What are the best eco-friendly plastic bottle with more than 4 stars, show couple",o o o r q q q o s s s s o r
Show me as many as possible highly rated wireless mouse with wired adapter,o o r r r r s s q q q q q
Need as many as possible gaming keyboard with no backlight with ratings at least 4.3,o r r r r q q q q q o s s s s
Please recommend 3 solar lamp that needs charging cable with rating over 4.5,o o r q q q q q q o s s s
find 1 W ceiling fans with 5 star rating,o q q q q s s s s
find 1 kg air conditioners with star-rated rating,o q q q q s s s  
find 10 inch laptops with 4.5 star rating,o q q q s s s s
find 100 W LED panels with energy-efficient rating,o q q q q q q q
find 2.5 L blenders with star-rated rating,o q q q q q q  
find 2.5 inch energy bars with 3 star rating,o q q q q s s s s
find 32 GB air conditioners with energy-efficient rating,o q q q q q q q
find 32 TB milk cartons with 4.5 star rating,o q q q q s s s
recommend 5 star smart TVs weighing 15 TB,o s s q q q q q
recommend star-rated detergent weighing 42 inch,o s q q q q
recommend star-rated water purifiers weighing 55 inch,o s q q q q q
show me 1 GB ACs,o o q q q  
show me 1 GB washing machines,o o q q q q  
show me 10 inch refrigerators,o o q q q
show me 100 L water purifiers,o o q q q q
show me 100 TB ACs,o o q q q
show me 2.5 TB potatoes,o o q q q
show me 42 cm microwave ovens,o o q q q q 
show me 42 ton smart TVs,o o q q q q
show me 500 kg pressure cookers,o o q q q q
show me 55 inch milk cartons,o o q q q q
